Starting duty-cycle loop
iteration,frequency_in,frequency_out,resolution_out,ratio,read_val
2,5000,15000,12,0.295,0.2837
3,5000,15000,12,0.295,0.2848
4,5000,15000,12,0.295,0.2846
0,10000,10000,12,0.026,0.02415
1,10000,10000,12,0.026,0.02415
2,10000,10000,12,0.026,0.0242
3,10000,10000,12,0.026,0.0243
4,10000,10000,12,0.026,0.02415
0,5000,15000,12,0.026,0.0245
1,5000,15000,12,0.026,0.0245
2,5000,15000,12,0.026,0.0245
3,5000,15000,12,0.026,0.0242
4,5000,15000,12,0.026,0.0246
0,10000,10000,12,0.201,0.1922
1,10000,10000,12,0.201,0.19185
2,10000,10000,12,0.201,0.1916
3,10000,10000,12,0.201,0.19165
4,10000,10000,12,0.201,0.19155
0,5000,15000,12,0.201,0.1945
1,5000,15000,12,0.201,0.1939
2,5000,15000,12,0.201,0.1921
3,5000,15000,12,0.201,0.194
4,5000,15000,12,0.201,0.1935
0,10000,10000,12,0.62,0.6027
1,10000,10000,12,0.62,0.60535
2,10000,10000,12,0.62,0.60475
3,10000,10000,12,0.62,0.6053
4,10000,10000,12,0.62,0.6053
0,5000,15000,12,0.62,0.6074
1,5000,15000,12,0.62,0.6067
2,5000,15000,12,0.62,0.6075
3,5000,15000,12,0.62,0.6069
4,5000,15000,12,0.62,0.6089
0,10000,10000,12,0.094,0.09095
1,10000,10000,12,0.094,0.08945
2,10000,10000,12,0.094,0.08935
3,10000,10000,12,0.094,0.08945
4,10000,10000,12,0.094,0.0883
0,5000,15000,12,0.094,0.0898
1,5000,15000,12,0.094,0.0898
2,5000,15000,12,0.094,0.0898
3,5000,15000,12,0.094,0.0898
4,5000,15000,12,0.094,0.0896
0,10000,10000,12,0.522,0.50545
1,10000,10000,12,0.522,0.5102
2,10000,10000,12,0.522,0.50635
3,10000,10000,12,0.522,0.5086
4,10000,10000,12,0.522,0.5065
0,5000,15000,12,0.522,0.5045
1,5000,15000,12,0.522,0.5061
2,5000,15000,12,0.522,0.5057
3,5000,15000,12,0.522,0.5084
4,5000,15000,12,0.522,0.5106
0,10000,10000,12,0.551,0.53575
1,10000,10000,12,0.551,0.5387
2,10000,10000,12,0.551,0.53675
3,10000,10000,12,0.551,0.53605
4,10000,10000,12,0.551,0.53605
0,5000,15000,12,0.551,0.5364
1,5000,15000,12,0.551,0.5342
2,5000,15000,12,0.551,0.5357
3,5000,15000,12,0.551,0.5348
4,5000,15000,12,0.551,0.5353
0,10000,10000,12,0.538,0.5221
1,10000,10000,12,0.538,0.5236
2,10000,10000,12,0.538,0.52285
3,10000,10000,12,0.538,0.52435
4,10000,10000,12,0.538,0.5251
0,5000,15000,12,0.538,0.5263
1,5000,15000,12,0.538,0.5223
2,5000,15000,12,0.538,0.5235
3,5000,15000,12,0.538,0.5262
4,5000,15000,12,0.538,0.5268
0,10000,10000,12,0.479,0.46475
1,10000,10000,12,0.479,0.46315
2,10000,10000,12,0.479,0.4666
3,10000,10000,12,0.479,0.4631
4,10000,10000,12,0.479,0.4631
0,5000,15000,12,0.479,0.4681
1,5000,15000,12,0.479,0.4678
2,5000,15000,12,0.479,0.465
3,5000,15000,12,0.479,0.4672
4,5000,15000,12,0.479,0.4673
0,10000,10000,12,0.369,0.356
1,10000,10000,12,0.369,0.3565
2,10000,10000,12,0.369,0.35645
3,10000,10000,12,0.369,0.3565
4,10000,10000,12,0.369,0.35475
0,5000,15000,12,0.369,0.357
1,5000,15000,12,0.369,0.3573
2,5000,15000,12,0.369,0.3571
3,5000,15000,12,0.369,0.3572
4,5000,15000,12,0.369,0.3558
0,10000,10000,12,0.948,0.9394
1,10000,10000,12,0.948,0.94525
2,10000,10000,12,0.948,0.9452
3,10000,10000,12,0.948,0.94525
4,10000,10000,12,0.948,0.9452
0,5000,15000,12,0.948,0.9455
1,5000,15000,12,0.948,0.9446
2,5000,15000,12,0.948,0.9459
3,5000,15000,12,0.948,0.9453
4,5000,15000,12,0.948,0.9454
0,10000,10000,12,0.791,0.78085
1,10000,10000,12,0.791,0.7793
2,10000,10000,12,0.791,0.7795
3,10000,10000,12,0.791,0.77975
4,10000,10000,12,0.791,0.77975
0,5000,15000,12,0.791,0.7863
1,5000,15000,12,0.791,0.7811
2,5000,15000,12,0.791,0.7809
3,5000,15000,12,0.791,0.7842
4,5000,15000,12,0.791,0.784
0,10000,10000,12,0.634,0.623
1,10000,10000,12,0.634,0.62125
2,10000,10000,12,0.634,0.62135
3,10000,10000,12,0.634,0.61955
4,10000,10000,12,0.634,0.6213
0,5000,15000,12,0.634,0.6246
1,5000,15000,12,0.634,0.6225
2,5000,15000,12,0.634,0.621
3,5000,15000,12,0.634,0.6212
4,5000,15000,12,0.634,0.6214
0,10000,10000,12,0.469,0.4554
1,10000,10000,12,0.469,0.4536
2,10000,10000,12,0.469,0.45255
3,10000,10000,12,0.469,0.45625
4,10000,10000,12,0.469,0.45275
0,5000,15000,12,0.469,0.4602
1,5000,15000,12,0.469,0.4589
2,5000,15000,12,0.469,0.4573
3,5000,15000,12,0.469,0.4559
4,5000,15000,12,0.469,0.459
0,10000,10000,12,0.683,0.66905
1,10000,10000,12,0.683,0.66885
2,10000,10000,12,0.683,0.67225
3,10000,10000,12,0.683,0.6698
4,10000,10000,12,0.683,0.6722
0,5000,15000,12,0.683,0.6697
1,5000,15000,12,0.683,0.673
2,5000,15000,12,0.683,0.6712
3,5000,15000,12,0.683,0.6729
4,5000,15000,12,0.683,0.6727
0,10000,10000,12,0.375,0.36475
1,10000,10000,12,0.375,0.36135
2,10000,10000,12,0.375,0.3615
3,10000,10000,12,0.375,0.36265
4,10000,10000,12,0.375,0.3627
0,5000,15000,12,0.375,0.3624
1,5000,15000,12,0.375,0.3637
2,5000,15000,12,0.375,0.3623
3,5000,15000,12,0.375,0.3631
4,5000,15000,12,0.375,0.3641
0,10000,10000,12,0.987,0.981
1,10000,10000,12,0.987,0.98715
2,10000,10000,12,0.987,0.98715
3,10000,10000,12,0.987,0.98705
4,10000,10000,12,0.987,0.9872
0,5000,15000,12,0.987,0.9771
1,5000,15000,12,0.987,0.9863
2,5000,15000,12,0.987,0.9861
3,5000,15000,12,0.987,0.9862
4,5000,15000,12,0.987,0.9862
0,10000,10000,12,0.909,0.90475
1,10000,10000,12,0.909,0.9032
2,10000,10000,12,0.909,0.90415
3,10000,10000,12,0.909,0.9042
4,10000,10000,12,0.909,0.90325
0,5000,15000,12,0.909,0.9042
1,5000,15000,12,0.909,0.9037
2,5000,15000,12,0.909,0.9032
3,5000,15000,12,0.909,0.9032
4,5000,15000,12,0.909,0.9024
0,10000,10000,12,0.843,0.8367
1,10000,10000,12,0.843,0.83595
2,10000,10000,12,0.843,0.83595
3,10000,10000,12,0.843,0.83595
4,10000,10000,12,0.843,0.83595
0,5000,15000,12,0.843,0.8362
1,5000,15000,12,0.843,0.8345
2,5000,15000,12,0.843,0.8344
3,5000,15000,12,0.843,0.8345
4,5000,15000,12,0.843,0.8346
0,10000,10000,12,0.83,0.8237
1,10000,10000,12,0.83,0.8234
2,10000,10000,12,0.83,0.8236
3,10000,10000,12,0.83,0.8233
4,10000,10000,12,0.83,0.82365
0,5000,15000,12,0.83,0.8219
1,5000,15000,12,0.83,0.8224
2,5000,15000,12,0.83,0.8227
3,5000,15000,12,0.83,0.8216
4,5000,15000,12,0.83,0.8216
0,10000,10000,12,0.582,0.5707
1,10000,10000,12,0.582,0.5689
2,10000,10000,12,0.582,0.56895
3,10000,10000,12,0.582,0.569
4,10000,10000,12,0.582,0.56795
0,5000,15000,12,0.582,0.5706
1,5000,15000,12,0.582,0.5712
2,5000,15000,12,0.582,0.57
3,5000,15000,12,0.582,0.5713
4,5000,15000,12,0.582,0.5705
0,10000,10000,12,0.219,0.21105
1,10000,10000,12,0.219,0.2087
2,10000,10000,12,0.219,0.20865
3,10000,10000,12,0.219,0.2086
4,10000,10000,12,0.219,0.20865
0,5000,15000,12,0.219,0.2108
1,5000,15000,12,0.219,0.2088
2,5000,15000,12,0.219,0.2087
3,5000,15000,12,0.219,0.2119
4,5000,15000,12,0.219,0.2104
0,10000,10000,12,0.605,0.59005
1,10000,10000,12,0.605,0.5922
2,10000,10000,12,0.605,0.59215
3,10000,10000,12,0.605,0.59205
4,10000,10000,12,0.605,0.59215
0,5000,15000,12,0.605,0.5852
1,5000,15000,12,0.605,0.5926
2,5000,15000,12,0.605,0.5941
3,5000,15000,12,0.605,0.594
4,5000,15000,12,0.605,0.5924
0,10000,10000,12,0.713,0.69945
1,10000,10000,12,0.713,0.70095
2,10000,10000,12,0.713,0.6998
3,10000,10000,12,0.713,0.70285
4,10000,10000,12,0.713,0.6997
0,5000,15000,12,0.713,0.7028
1,5000,15000,12,0.713,0.7022
2,5000,15000,12,0.713,0.7023
3,5000,15000,12,0.713,0.7029
4,5000,15000,12,0.713,0.7013
